"","County","Region","RegionName"
"1","Mahoning",0,"Mahoning County CoC"
"2","Defiance",1,"Homeless Planning Region 1"
"3","Fulton",1,"Homeless Planning Region 1"
"4","Henry",1,"Homeless Planning Region 1"
"5","Paulding",1,"Homeless Planning Region 1"
"6","Van Wert",1,"Homeless Planning Region 1"
"7","Williams",1,"Homeless Planning Region 1"
"8","Erie",2,"Homeless Planning Region 2"
"9","Huron",2,"Homeless Planning Region 2"
"10","Ottawa",2,"Homeless Planning Region 2"
"11","Richland",2,"Homeless Planning Region 2"
"12","Sandusky",2,"Homeless Planning Region 2"
"13","Seneca",2,"Homeless Planning Region 2"
"14","Wood",2,"Homeless Planning Region 2"
"15","Adams",3,"Homeless Planning Region 3"
"16","Brown",3,"Homeless Planning Region 3"
"17","Lawrence",3,"Homeless Planning Region 3"
"18","Pike",3,"Homeless Planning Region 3"
"19","Scioto",3,"Homeless Planning Region 3"
"20","Ashland",4,"Homeless Planning Region 4"
"21","Lorain",4,"Homeless Planning Region 4"
"22","Medina",4,"Homeless Planning Region 4"
"23","Wayne",4,"Homeless Planning Region 4"
"24","Ashtabula",5,"Homeless Planning Region 5"
"25","Geauga",5,"Homeless Planning Region 5"
"26","Lake",5,"Homeless Planning Region 5"
"27","Portage",5,"Homeless Planning Region 5"
"28","Trumbull",5,"Homeless Planning Region 5"
"29","Carroll",6,"Homeless Planning Region 6"
"30","Columbiana",6,"Homeless Planning Region 6"
"31","Harrison",6,"Homeless Planning Region 6"
"32","Jefferson",6,"Homeless Planning Region 6"
"33","Tuscarawas",6,"Homeless Planning Region 6"
"34","Belmont",7,"Homeless Planning Region 7"
"35","Guernsey",7,"Homeless Planning Region 7"
"36","Monroe",7,"Homeless Planning Region 7"
"37","Noble",7,"Homeless Planning Region 7"
"38","Morgan",8,"Homeless Planning Region 8"
"39","Muskingum",8,"Homeless Planning Region 8"
"40","Washington",8,"Homeless Planning Region 8"
"41","Coshocton",9,"Homeless Planning Region 9"
"42","Fairfield",9,"Homeless Planning Region 9"
"43","Holmes",9,"Homeless Planning Region 9"
"44","Knox",9,"Homeless Planning Region 9"
"45","Licking",9,"Homeless Planning Region 9"
"46","Delaware",10,"Homeless Planning Region 10"
"47","Madison",10,"Homeless Planning Region 10"
"48","Morrow",10,"Homeless Planning Region 10"
"49","Union",10,"Homeless Planning Region 10"
"50","Crawford",11,"Homeless Planning Region 11"
"51","Hancock",11,"Homeless Planning Region 11"
"52","Hardin",11,"Homeless Planning Region 11"
"53","Marion",11,"Homeless Planning Region 11"
"54","Putnam",11,"Homeless Planning Region 11"
"55","Wyandot",11,"Homeless Planning Region 11"
"56","Allen",12,"Homeless Planning Region 12"
"57","Auglaize",12,"Homeless Planning Region 12"
"58","Mercer",12,"Homeless Planning Region 12"
"59","Champaign",13,"Homeless Planning Region 13"
"60","Darke",13,"Homeless Planning Region 13"
"61","Logan",13,"Homeless Planning Region 13"
"62","Miami",13,"Homeless Planning Region 13"
"63","Preble",13,"Homeless Planning Region 13"
"64","Shelby",13,"Homeless Planning Region 13"
"65","Butler",14,"Homeless Planning Region 14"
"66","Clermont",14,"Homeless Planning Region 14"
"67","Warren",14,"Homeless Planning Region 14"
"68","Clark",15,"Homeless Planning Region 15"
"69","Greene",15,"Homeless Planning Region 15"
"70","Clinton",16,"Homeless Planning Region 16"
"71","Fayette",16,"Homeless Planning Region 16"
"72","Highland",16,"Homeless Planning Region 16"
"73","Pickaway",16,"Homeless Planning Region 16"
"74","Ross",16,"Homeless Planning Region 16"
"75","Athens",17,"Homeless Planning Region 17"
"76","Gallia",17,"Homeless Planning Region 17"
"77","Hocking",17,"Homeless Planning Region 17"
"78","Jackson",17,"Homeless Planning Region 17"
"79","Meigs",17,"Homeless Planning Region 17"
"80","Perry",17,"Homeless Planning Region 17"
"81","Vinton",17,"Homeless Planning Region 17"
